# Ankaufspreise des Sammlers, wert = Coins je Stueck (Verkaufsfass und Lieferrampe, Rampe zahlt 80 Prozent).
# Massstab: Kaufpreise im Laden (Eisen 50, Gold 100, Diamant 1000, Obsidian 500) und Seltenheit am Quell.
# Verarbeitung lohnt sich: Erz < Rohstoff < Barren < Block (Kupfererz 4, Kupferbarren 5, Kupferblock 50).
# REGEL (Luis 10.09.2026): Alles, was der Laden verkauft, kauft der Sammler zur HAELFTE des Kaufpreises zurueck
# AUSNAHME (Luis 10.09.2026): nachwachsende Ware nicht. Obsidian ist mit Lava aus dem Nether umsonst
# herstellbar, deshalb Ankauf 20 statt 250. Kaufpreis bleibt 500, es ist der einzige Block, den die
# Gegner nicht durchgraben. Crying Obsidian und Zaubertisch mit, sonst wandert die Schleife nur weiter.
# (aufgerundet), ohne Ausnahme. Diese Zeilen pflegt build-seitig niemand von Hand: bei Preisaenderung im Laden
# hier den Wert nachziehen (python3 preise_ableiten.py danach). Was der Laden nicht verkauft, hat hier einen festen Wert.
item,name,wert
cobblestone,Cobblestone,1
stone,Stone,2
dirt,Dirt,1
coarse_dirt,Coarse Dirt,1
sand,Sand,5
gravel,Gravel,5
andesite,Andesite,1
granite,Granite,1
diorite,Diorite,1
deepslate,Deepslate,2
cobbled_deepslate,Cobbled Deepslate,2
moss_block,Moss Block,3
mossy_cobblestone,Mossy Cobblestone,2
clay,Clay,4
clay_ball,Clay Ball,1
brick,Brick,2
glass,Glass,3
oak_log,Oak Log,25
dark_oak_log,Dark Oak Log,15
spruce_log,Spruce Log,15
birch_log,Birch Log,15
oak_planks,Oak Planks,8
crimson_stem,Crimson Stem,10
warped_stem,Warped Stem,10
bookshelf,Bookshelf,75
cobweb,Cobweb,10
bone,Bone,18
string,String,5
apple,Apple,15
bread,Bread,25
wheat,Wheat,3
carrot,Carrot,3
potato,Potato,3
pumpkin,Pumpkin,10
melon,Melon,8
melon_slice,Melon Slice,1
sweet_berries,Sweet Berries,2
sugar_cane,Sugar Cane,3
cactus,Cactus,3
bamboo,Bamboo,2
egg,Egg,2
feather,Feather,2
white_wool,White Wool,4
leather,Leather,15
beef,Beef,25
cooked_beef,Cooked Beef,50
mutton,Mutton,15
cooked_mutton,Cooked Mutton,25
porkchop,Porkchop,25
cooked_porkchop,Cooked Porkchop,40
chicken,Chicken,15
cooked_chicken,Cooked Chicken,25
coal_ore,Coal Ore,5
coal,Coal,8
coal_block,Coal Block,60
copper_ore,Copper Ore,4
raw_copper,Raw Copper,3
copper_ingot,Copper Ingot,10
copper_block,Copper Block,50
iron_ore,Iron Ore,15
raw_iron,Raw Iron,12
iron_ingot,Iron Ingot,25
iron_block,Iron Block,200
gold_ore,Gold Ore,30
raw_gold,Raw Gold,25
gold_ingot,Gold Ingot,50
gold_block,Gold Block,400
redstone_ore,Redstone Ore,8
redstone,Redstone,5
redstone_block,Redstone Block,30
lapis_ore,Lapis Ore,20
lapis_lazuli,Lapis Lazuli,10
lapis_block,Lapis Block,40
diamond_ore,Diamond Ore,300
diamond,Diamond,250
diamond_block,Diamond Block,4000
emerald_ore,Emerald Ore,200
emerald,Emerald,125
emerald_block,Emerald Block,2500
nether_quartz_ore,Nether Quartz Ore,40
quartz,Quartz,20
obsidian,Obsidian,20
amethyst_shard,Amethyst Shard,25
amethyst_block,Amethyst Block,20
netherrack,Netherrack,2
soul_sand,Soul Sand,4
soul_soil,Soul Soil,4
nether_wart,Nether Wart,30
glowstone_dust,Glowstone Dust,20
glowstone,Glowstone,15
magma_block,Magma Block,10
blackstone,Blackstone,3
end_stone,End Stone,5
purpur_block,Purpur Block,6
chorus_fruit,Chorus Fruit,8
sculk,Sculk,8
rotten_flesh,Rotten Flesh,5
spider_eye,Spider Eye,13
gunpowder,Gunpowder,20
slime_ball,Slime Ball,15
arrow,Arrow,10
ender_pearl,Ender Pearl,50
phantom_membrane,Phantom Membrane,75
blaze_rod,Blaze Rod,60
ghast_tear,Ghast Tear,150
wither_skeleton_skull,Wither Skeleton Skull,600
ancient_debris,Ancient Debris,300
netherite_scrap,Netherite Scrap,300
shulker_shell,Shulker Shell,400
enchanted_golden_apple,Enchanted Golden Apple,1500
honeycomb,Honeycomb,20
honey_bottle,Honey Bottle,8
crying_obsidian,Crying Obsidian,20
prismarine_shard,Prismarine Shard,5
prismarine_crystals,Prismarine Crystals,8
nautilus_shell,Nautilus Shell,30
ink_sac,Ink Sac,3
glow_ink_sac,Glow Ink Sac,8
turtle_scute,Turtle Scute,20
armadillo_scute,Armadillo Scute,20
rabbit_hide,Rabbit Hide,3
rabbit_foot,Rabbit's Foot,20
rabbit,Raw Rabbit,12
cod,Raw Cod,8
salmon,Raw Salmon,8
tropical_fish,Tropical Fish,6
pufferfish,Pufferfish,6
kelp,Kelp,1
seagrass,Seagrass,1
sea_pickle,Sea Pickle,3
lily_pad,Lily Pad,2
vine,Vines,1
glow_berries,Glow Berries,2
cocoa_beans,Cocoa Beans,3
beetroot,Beetroot,2
snowball,Snowball,1
ice,Ice,3
calcite,Calcite,3
tuff,Tuff,1
dripstone_block,Dripstone Block,5
pointed_dripstone,Pointed Dripstone,3
amethyst_cluster,Amethyst Cluster,20
mud,Mud,1
sculk_catalyst,Sculk Catalyst,50
sculk_sensor,Sculk Sensor,150
sculk_shrieker,Sculk Shrieker,40
sculk_vein,Sculk Vein,3
glow_lichen,Glow Lichen,2
hanging_roots,Hanging Roots,1
small_dripleaf,Small Dripleaf,2
big_dripleaf,Big Dripleaf,2
azalea,Azalea,5
flowering_azalea,Flowering Azalea,8
spore_blossom,Spore Blossom,5
shroomlight,Shroomlight,10
weeping_vines,Weeping Vines,2
twisting_vines,Twisting Vines,2
nether_sprouts,Nether Sprouts,1
crimson_roots,Crimson Roots,1
warped_roots,Warped Roots,1
crimson_fungus,Crimson Fungus,2
warped_fungus,Warped Fungus,2
warped_wart_block,Warped Wart Block,3
nether_wart_block,Nether Wart Block,3
basalt,Basalt,2
gilded_blackstone,Gilded Blackstone,40
chorus_flower,Chorus Flower,10
